Sport,League,Time,Team 1,Team 2,Odds 1,Odds X,Odds 2
Football,NM Cup,12:00,Torvastad,Bryne,13.86,7.74,1.10
Football,NM Cup,12:00,Junkeren,Bodo/Glimt,27.90,13.28,1.03
Football,NM Cup,12:00,Sotra,Asane,2.66,3.46,2.35
Football,NM Cup,12:00,Alta,Skeid,2.96,3.66,2.11
Football,NM Cup,12:00,Orn,Sandefjord,14.64,8.73,1.10
Football,NM Cup,12:00,Flint,Fredrikstad,23.18,11.06,1.05
Football,NM Cup,12:00,Nardo,Kristiansund,12.55,5.29,1.22
Football,NM Cup,12:00,Strindheim,Rosenborg,20.66,9.98,1.07
Football,NM Cup,12:00,Lorenskog,HamKam,11.46,6.51,1.17
Football,NM Cup,12:00,Gamle Oslo,Sarpsborg 08,12.96,6.72,1.15
Football,NM Cup,12:00,Elverum,Kongsvinger,7.31,5.43,1.29
Football,NM Cup,12:00,Jerv,Egersund,3.53,3.77,1.85
Football,NM Cup,12:00,Bjarg,Brann,20.61,9.79,1.07
Football,NM Cup,12:00,Sandviken,Sogndal,6.16,4.51,1.41
Football,NM Cup,12:00,Ull/Kisa,Aalesund,4.06,4.33,1.63
Football,NM Cup,12:00,Strommen,Raufoss,2.52,3.27,2.58
Football,NM Cup,12:00,Fram,Stabaek,9.49,6.08,1.21
Football,NM Cup,12:00,Vidar,Haugesund,5.89,4.57,1.42
Football,NM Cup,12:00,Ready,KFUM Oslo,32.49,14.74,1.02
Football,NM Cup,12:00,Flekkeroy,Viking,14.10,8.18,1.12
Football,NM Cup,12:00,Follo,Moss,2.95,3.60,2.11
Football,NM Cup,12:00,Kjelsas,Lyn,3.18,3.68,1.98
Football,Prva Liga,12:00,Javor,Macva,2.01,2.85,4.02
Football,Super Liga,12:00,Jedinstvo U.,Cukaricki,6.22,4.13,1.48
Football,Slovenian Cup,12:00,Celje,O. Ljubljana,2.28,3.35,2.85
Football,Premier League,12:00,Express,UPDF,1.88,3.37,3.66
Football,Challenge Cup,12:15,Zurrieq,Valletta,5.29,4.14,1.50
Football,NM Cup,12:30,Eidsvold TF,Lillestrom,7.29,5.18,1.32
Football,Saudi Professional League,12:30,Al Orubah,Al Fayha,3.43,3.29,2.12
Football,Eredivisie,12:45,AZ Alkmaar,NAC Breda,1.51,4.49,5.92
Football,Ligue 1,13:00,Paradou,ES Setif,2.42,2.70,3.30
Football,League Cup,13:00,Ceramica Cleopatra,Petrojet,1.77,3.32,4.52
Football,Crystalbet Erovnuli Liga,13:00,Torpedo Kutaisi,Gagra,1.54,3.91,5.28
Football,Botola 2,13:00,RAC Casablanca,Olympique Khouribga,2.40,2.81,3.09
Football,Ligue 1,13:00,Pikine,Wally Daan,3.67,2.59,2.27
Football,Ligue 1,13:00,Jaraaf,Oslo Football Academy,1.24,4.77,12.39
Football,LaLiga,13:00,Osasuna,Sevilla,2.32,3.00,3.53
Football,LaLiga,13:00,Leganes,Girona,3.18,3.07,2.46
Football,Allsvenskan,13:00,Djurgarden,Oster,1.40,4.78,7.41
Football,Allsvenskan,13:00,GAIS,Brommapojkarna,2.06,3.56,3.43
Football,Allsvenskan,13:00,Norrkoping,Goteborg,2.40,3.38,2.88
Football,Allsvenskan,13:00,Varnamo,AIK,2.95,3.03,2.57
Football,Division 2 - Norra Götaland,13:00,Tidaholms,IF Haga,2.29,3.55,2.62
Football,NM Cup,13:05,Mjondalen,Stromsgodset,8.81,5.47,1.26
Football,Romanian Cup,13:30,CFR Cluj,Farul Constanta,1.36,4.48,7.89
Football,Turkish Cup,13:30,Trabzonspor,Goztepe,1.81,3.54,4.37
Football,Crown Prince Cup,13:45,Al Qadisiya,Al Salmiya,1.94,3.63,3.31
Football,Reserve League,14:00,Barracas Central 2,Estudiantes L.P. 2,5.44,3.07,1.75
Football,Reserve League,14:00,Aldosivi 2,Union de Santa Fe 2,2.91,3.09,2.37
Football,Reserve League,14:00,Gimnasia L.P. 2,Sarmiento Junin 2,2.28,3.09,3.06
Football,Reserve League,14:00,Instituto 2,San Martin S.J. 2,1.72,3.31,4.91
Football,Reserve League,14:00,San Lorenzo 2,Lanus 2,1.81,3.39,4.18
Football,Reserve League,14:00,Belgrano 2,Talleres Cordoba 2,1.62,3.78,4.83
Football,Hungarian Cup Women,14:00,Gyor W,MTK Hungaria W,1.92,3.54,3.42
Football,Eerste Divisie,14:00,Roda,Den Haag,3.32,3.73,2.00
Football,Saudi Professional League,14:00,Al Taawon,Al Raed,1.88,3.57,3.92
